"","bias","bias.abs","variance","MSE"
"1",0.00719869305365706,0.00719869305365706,0.00103943827048344,0.00107047068675454
"2",0.000981297639342515,0.000981297639342515,0.000677826125690105,0.000665232548233282
"3",0.000593088177143986,0.000593088177143986,0.00042035576108802,0.000412300399452127
"4",0.00326647071247654,0.00326647071247654,0.000374969388355032,0.000378139831503398
"5",-0.00589834020101898,0.00589834020101898,0.00109859792443831,0.0011114163830765
"6",-0.00519457608784202,0.00519457608784202,0.000413627720195725,0.000432338786524191
"7",-0.00126747163259056,0.00126747163259056,0.000818325753292375,0.000803565722565949
"8",0.00122979422842362,0.00122979422842362,0.00137377593007159,0.00134781280531442
"9",0.000160704382797916,0.000160704382797916,0.00043302178467529,0.000424387174880435
"10",NA,NA,NA,NA
"11",NA,NA,NA,NA
"12",-0.00177076094587714,0.00177076094587714,0.00310248044151481,0.00304356642701195
"13",0.00880128628474253,0.00880128628474253,0.00283136554499847,0.0028522008743645
"14",NA,NA,NA,NA
"15",NA,NA,NA,NA
"16",0.00163854778364247,0.00163854778364247,0.0008517688721519,0.000837418333548141
"17",0.00202367472256026,0.00202367472256026,0.000655154347656916,0.000646146520086507
"18",0.00287061694689872,0.00287061694689872,0.001014890209668,0.00100283284713046
"19",-0.00301243545880525,0.00301243545880525,0.000992034334955375,0.000981268415649735
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",0.00254390682879158,0.00254390682879158,0.00210920667289769,0.00207349400139331
"23",0.00249666974572937,0.00249666974572937,0.00167755940500945,0.0016502415767285
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",-0.000321976270960533,0.000321976270960533,0.00150599281412292,0.00147597662655952
"27",0.00241119536216405,0.00241119536216405,0.000986672640494758,0.000972753050759385
"28",NA,NA,NA,NA
"29",0.00600696301880133,0.00600696301880133,0.00095992878764943,0.000976813816605688
"30",-0.00855952319902331,0.00855952319902331,0.00212767088765135,0.00215838290729294
"31",0.00209595526204498,0.00209595526204498,0.00269642951853211,0.00264689395662197
"32",0.0018382701312516,0.0018382701312516,0.00093756005050422,0.000922188086569587
"33",0.00625283246865438,0.00625283246865438,0.000696770860377527,0.000721933357051034
"34",-0.00300405632348888,0.00300405632348888,0.000486610409129028,0.000485902555341141
"35",-0.00429165050411118,0.00429165050411118,0.00100420870797063,0.00100254279786065
"36",0.000277624123192211,0.000277624123192211,0.000898223831413658,0.000880336429939163
"37",-0.00256369320479621,0.00256369320479621,0.000983216680122108,0.000970124869367984
"38",0.0054292663680966,0.0054292663680966,0.000962529458479703,0.000972755802605854
"39",0.000508865296175776,0.000508865296175776,0.000699852474335814,0.00068611436873875
"40",-0.00081046358153114,0.00081046358153114,0.00209322335768129,0.00205201574174466
"41",-0.000429197086017519,0.000429197086017519,0.00284195906087465,0.0027853040897958
"42",-0.00083925954364239,0.00083925954364239,0.00162043428861698,0.00158872995942623
"43",NA,NA,NA,NA
"44",-0.00773893693257077,0.00773893693257077,0.00127383910473465,0.00130825346748626
"45",0.00792032307680679,0.00792032307680679,0.00347689156354728,0.00347008524991734
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",0.00499055312157415,0.00499055312157415,0.00156533640127717,0.00155893529371089
"49",-0.0081761412182515,0.0081761412182515,0.00155302659686616,0.00158881535014963
"50",NA,NA,NA,NA
"51",NA,NA,NA,NA
"52",-0.0037949109234926,0.0037949109234926,0.000967209252578501,0.000962266416444174
"53",-0.0066843910667781,0.0066843910667781,0.00107112758195887,0.00109438611425331
"54",0.0114389983042712,0.0114389983042712,0.00144656553232748,0.00154848490388605
"55",0.00283702652202944,0.00283702652202944,0.000474233592452614,0.00047279764009026
"56",NA,NA,NA,NA
"57",NA,NA,NA,NA
"58",-0.00371756285396363,0.00371756285396363,0.00111819872201911,0.0011096550211519
"59",0.00314017040175252,0.00314017040175252,0.00224508692263268,0.00221004585433207
"60",NA,NA,NA,NA
"61",NA,NA,NA,NA
"62",0.00214182466470092,0.00214182466470092,0.000764814846787286,0.000754105962745861
"63",-0.00529265098518616,0.00529265098518616,0.000829492015215207,0.000840914329361895
"64",0.00283888152384248,0.00283888152384248,0.00118679250276328,0.00117111590101443
"65",-0.00366429921819544,0.00366429921819544,0.000563581488687581,0.000565736947674298
"66",0.000789672170207201,0.000789672170207201,0.00124553208647642,0.00122124502688329
"67",0.00254347537002519,0.00254347537002519,0.000736647629845793,0.000728383944206803
"68",0.00120820741085337,0.00120820741085337,0.000357619796848444,0.000351927166059116
"69",0.00606261555718657,0.00606261555718657,0.000759680467992491,0.000781242166026882
"70",-0.00834809525217017,0.00834809525217017,0.00103293347385926,0.00108196549872138
