"","bias","bias.abs","variance","MSE"
"1",0.00802606743631437,0.00802606743631437,0.0013491421762045,0.00138657709117268
"2",0.00513605839726577,0.00513605839726577,0.00136411704154447,0.00136321379657371
"3",-0.00450341879583832,0.00450341879583832,0.000812132393475102,0.00081617052645631
"4",-0.00904851147512223,0.00904851147512223,0.000734704570498559,0.000801886039004007
"5",0.00907705331010039,0.00907705331010039,0.000897977247291692,0.000962410599140262
"6",-0.00257267486443172,0.00257267486443172,0.000605172365234413,0.000599687573887803
"7",0.00141718024982826,0.00141718024982826,0.000975028511397967,0.000957536341030512
"8",0.00664107629124674,0.00664107629124674,0.00162728777478992,0.00163884591360028
"9",0.00230562735324447,0.00230562735324447,0.000861604354085949,0.000849688184496259
"10",0.503897234140233,0.503897234140233,0.0149714550810319,0.268584448553588
"11",0.501857195020563,0.501857195020563,0.00575905752813665,0.257504520571481
"12",0.00894634880765643,0.00894634880765643,0.00423821725032689,0.00423349006230861
"13",-0.0147659529164028,0.0147659529164028,0.00463674614137828,0.00476204458408014
"14",0.499842307807338,0.499842307807338,0.00565468443097621,0.255383923416523
"15",0.53488647133024,0.53488647133024,0.0267921100538455,0.312359805064884
"16",-0.0020769477087057,0.0020769477087057,0.000903532699919725,0.000889775757706029
"17",0.00695583862603114,0.00695583862603114,0.000970265713287877,0.000999244090013506
"18",0.00949236516838886,0.00949236516838886,0.001289090061961,0.00135341325721182
"19",6.06522672763621e-06,6.06522672763621e-06,0.00161318898764543,0.0015809252446795
"20",0.487550754810325,0.487550754810325,0.00627790766962248,0.243858088032347
"21",0.486775498543256,0.486775498543256,0.0109961554891587,0.247726618361411
"22",-0.00107645767799402,0.00107645767799402,0.00244347831068103,0.00239576750559992
"23",-0.0133633316161678,0.0133633316161678,0.00691556015400183,0.00695582758280546
"24",0.527816977201945,0.527816977201945,0.0135958085123008,0.291914653764653
"25",0.49577826550625,0.49577826550625,0.0052235290984391,0.250915147064856
"26",-0.00596756397714715,0.00596756397714715,0.00318023337169198,0.00315224052407948
"27",0.00920672523645266,0.00920672523645266,0.00947931005454746,0.00937448764303605
"28",0.506364108250787,0.506364108250787,0.0806353525029388,0.335427255577495
"29",-0.00309315598767534,0.00309315598767534,0.00552660123370826,0.00542563682299819
"30",-0.00217606415153535,0.00217606415153535,0.0022911682869056,0.00225008017635908
"31",0.0185694879384212,0.0185694879384212,0.00690056127617504,0.00710737593294671
"32",-0.00565461308005849,0.00565461308005849,0.00153757977304706,0.00153880282667129
"33",-0.000718885109910056,0.000718885109910056,0.0011892408450606,0.00116597282396064
"34",-0.00263769761900898,0.00263769761900898,0.000627902130071316,0.000622301536199215
"35",-0.00301319396507235,0.00301319396507235,0.0011779491013109,0.00116346945715583
"36",-0.000594857785213898,0.000594857785213898,0.00115840879216172,0.00113559447210311
"37",-0.00225156294255902,0.00225156294255902,0.000714630037285093,0.000705406972223696
"38",0.00298148136122281,0.00298148136122281,0.00192889568899089,0.00189920700631839
"39",0.00234188589149831,0.00234188589149831,0.00171111807005761,0.00168238013818526
"40",0.0108817387174835,0.0108817387174835,0.00257985546039273,0.00264667058870045
"41",0.0104374686662287,0.0104374686662287,0.00201402318135499,0.0020826834698864
"42",-0.00569366225172782,0.00569366225172782,0.00746433796947518,0.00734746899992242
"43",0.473852498280017,0.473852498280017,0.0967480360849873,0.319349265489502
"44",0.0165069595107742,0.0165069595107742,0.0120745470968185,0.0121055358671724
"45",0.0273848059957052,0.0273848059957052,0.00647478193902423,0.00709521389966615
"46",0.5103051180464,0.5103051180464,0.00539586237590201,0.265699258632734
"47",0.496864831074182,0.496864831074182,0.0138366369814071,0.260434564600154
"48",0.0132867139700626,0.0132867139700626,0.00880818068310369,0.00880855383756388
"49",0.00237182436527747,0.00237182436527747,0.00190695578493084,0.00187444222005195
"50",0.487818760334369,0.487818760334369,0.0101078677953327,0.247872853373587
"51",0.502077704752676,0.502077704752676,0.00643334671547469,0.258386701390881
"52",0.00991930851922429,0.00991930851922429,0.00157216952000644,0.00163911881110587
"53",0.00205001161533991,0.00205001161533991,0.000991017736324811,0.000975399929221344
"54",-0.00652495284521809,0.00652495284521809,0.00141413671530642,0.00142842899063261
"55",-0.00261680264704103,0.00261680264704103,0.000914946204960648,0.000903494936954996
"56",0.541667298884731,0.541667298884731,0.0197106523956146,0.312719902028783
"57",0.496016296807147,0.496016296807147,0.00886464334746571,0.254719517178792
"58",-0.00289512358959113,0.00289512358959113,0.00409916235050337,0.00402556084409231
"59",0.00151117631752745,0.00151117631752745,0.00270276805537376,0.00265099634812894
"60",0.505775570499447,0.505775570499447,0.00474644840579508,0.26046044715172
"61",0.498638399547573,0.498638399547573,0.0104041713157103,0.258836341392761
"62",-0.00523005752920164,0.00523005752920164,0.00100346085916975,0.00101074514374511
"63",0.007053902874915,0.007053902874915,0.00129201103193715,0.00131592835706714
"64",-0.00135156325114155,0.00135156325114155,0.00118621132417456,0.0011643138209129
"65",-0.00111964987379723,0.00111964987379723,0.000413123902575366,0.000406115040363753
"66",-0.00474374084508,0.00474374084508,0.0010167178126492,0.0010188865336015
"67",-0.00306528948158999,0.00306528948158999,0.000892563083557147,0.000884107821491951
"68",0.00348025281719372,0.00348025281719372,0.000576711273159886,0.000577289207368273
"69",0.00277919722444175,0.00277919722444175,0.00145634722434636,0.00143494421707178
"70",0.00293028140401363,0.00293028140401363,0.000742347695906869,0.00073608729109544
