"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,1.7736750302812,0.370249609566867,1.04799913024012,2.49935093032227,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
2,1.52165699945554,0.363924456036679,0.80837817253032,2.23493582638076,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
3,1.51384473000962,0.34445169988494,0.838731803821539,2.1889576561977,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
4,1.73658782370074,0.315818754372386,1.11759443948856,2.35558120791292,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
5,1.56075530219206,0.392953822869629,0.790579961780256,2.33093064260387,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
6,1.28349751375553,0.303025953454271,0.689577558604248,1.87741746890681,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
7,1.37384890536563,0.320822546697687,0.74504826840974,2.00264954232151,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
8,1.54713864683841,0.380066368929645,0.802222252001397,2.29205504167543,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
9,1.55510992344574,0.283448732401715,0.999560616474845,2.11065923041663,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
10,1.09024925876282,0.311759243671822,0.479212369318603,1.70128614820704,TRUE,"full",291,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,29,29
1,1.5209508552089,0.270479433243243,0.990820907493334,2.05108080292446,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
2,1.16710322915177,0.251929444939968,0.673330590424269,1.66087586787928,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
3,1.50733899866453,0.278861404275134,0.960780689607001,2.05389730772206,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
4,1.55116621114919,0.210853799800464,1.13790035753686,1.96443206476152,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
5,1.79696506360168,0.27326479502005,1.26137590711966,2.3325542200837,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
6,1.15335792944011,0.236842677516764,0.689154811505216,1.617561047375,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
7,1.65226777001424,0.207842938248137,1.24490309660691,2.05963244342157,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
8,1.43521540889735,0.252263126498935,0.940788766331968,1.92964205146274,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
9,1.2029441507434,0.250766985424905,0.711449890798902,1.69443841068789,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
10,1.42704749681859,0.2612964311087,0.914915902556685,1.93917909108049,TRUE,"full",291,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",1.5,0.6,0,"both",25,10,28,30
