"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,0.938804252368981,0.251930487310736,0.445029570632313,1.43257893410565,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
2,1.18051539193263,0.243274225582484,0.703706671424087,1.65732411244117,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
3,1.10786229570965,0.269569013402504,0.579516738092749,1.63620785332655,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
4,0.571529536146452,0.230738462914996,0.11929045898493,1.02376861330797,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
5,1.25109807467013,0.258170120900494,0.745093935820806,1.75710221351945,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
6,1.19158375585587,0.244796387715965,0.711791652387074,1.67137585932466,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
7,0.799936477999538,0.229604797929042,0.349919343381018,1.24995361261806,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
8,1.14551441523341,0.236188079400829,0.682594286030104,1.60843454443672,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
9,1.19837920250395,0.24775296848983,0.712792307201002,1.68396609780691,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
10,0.940078059152015,0.239652496939639,0.470367796345228,1.4097883219588,TRUE,"full",206,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
1,0.449028438346083,0.235218249902135,-0.0119908599686426,0.910047736660809,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
2,0.812427345254636,0.234587763839321,0.35264377691578,1.27221091359349,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
3,0.799452326785051,0.267337366454733,0.275480716811989,1.32342393675811,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
4,1.09193996606865,0.231335866483745,0.638529999428148,1.54534993270916,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
5,1.01267058223391,0.248496211337084,0.525626957718568,1.49971420674924,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
6,0.977177757597112,0.272788756800014,0.442521618881629,1.51183389631259,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
7,1.04276222820933,0.301756705071822,0.451329954175086,1.63419450224358,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
8,1.14204455632779,0.241419698682767,0.668870641751057,1.61521847090453,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
9,0.898477695837981,0.302082076435422,0.306407705649478,1.49054768602648,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
10,1.17859715584108,0.271382206842158,0.646697804385453,1.71049650729671,TRUE,"full",206,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
1,1.10405296218017,0.233082201800742,0.647220241213415,1.56088568314692,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
2,0.560267416833855,0.252776287212098,0.0648349977523909,1.05569983591532,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
3,0.738502588401257,0.257394280551343,0.234019068694026,1.24298610810849,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
4,1.39832542114122,0.223191722134219,0.960877684110676,1.83577315817176,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
5,1.27416198533057,0.300618127882675,0.684961281580671,1.86336268908047,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
6,1.11826758678367,0.253249864373068,0.621906973522801,1.61462820004453,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
7,1.45258600059908,0.266562771571384,0.930132568699993,1.97503943249817,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
8,0.95913075561748,0.292343848149992,0.386147342141649,1.53211416909331,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
9,0.530205417728868,0.233532694070545,0.0724897481379896,0.987921087319747,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
10,1.64631601667543,0.214675317754043,1.22556012550782,2.06707190784305,TRUE,"full",206,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
1,1.07619105015675,0.275972721844999,0.535294454625062,1.61708764568844,TRUE,"full",206,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
2,1.04231910503988,0.20822163353374,0.634212202511648,1.4504260075681,TRUE,"full",206,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
3,1.17395185078841,0.218681277505428,0.745344422784559,1.60255927879225,TRUE,"full",206,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
4,0.820049553242203,0.239018573208174,0.351581758118031,1.28851734836638,TRUE,"full",206,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",1,0.7,0.01,"both",25,10,30,28
