"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,0.737876913013579,0.266693169188119,0.215167906482019,1.26058591954514,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
2,0.694636227857877,0.26957003849975,0.166288661087292,1.22298379462846,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
3,0.512027761701237,0.247876498348577,0.0261987523241253,0.99785677107835,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
4,0.287986042715702,0.343089886359514,-0.384457778008885,0.960429863440289,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
5,1.26280499246191,0.267721335802834,0.738080816395398,1.78752916852841,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
6,0.871830197872796,0.301128976459059,0.281628249311631,1.46203214643396,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
7,0.656885461011354,0.272318015649771,0.123151957996388,1.19061896402632,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
8,0.99128327313095,0.273074912593703,0.456066279365869,1.52650026689603,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
9,0.475458996447565,0.307347377683716,-0.126930794555347,1.07784878745048,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
10,0.887672802573984,0.264430639234778,0.369398273264915,1.40594733188305,TRUE,"full",54,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
1,0.771572936887044,0.265194732967481,0.251800811381064,1.29134506239302,TRUE,"full",54,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
2,0.609698664900134,0.273158702557058,0.0743174458246109,1.14507988397566,TRUE,"full",54,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
3,1.21022586749784,0.251877554564309,0.716554932037771,1.70389680295791,TRUE,"full",54,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
4,0.655666878113512,0.2625035898514,0.141169296192294,1.17016446003473,TRUE,"full",54,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
5,0.846918214525481,0.247910511487614,0.361022540620854,1.33281388843011,TRUE,"full",54,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
6,0.837804751533987,0.222617830605696,0.401481821230384,1.27412768183759,TRUE,"full",54,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",0.8,0.6,0.2,"both",25,10,30,28
