"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,2.37614477403768,0.437683922981891,1.51830004838098,3.23398949969439,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
2,0.853668840065497,0.490099939965597,-0.106909391092315,1.81424707122331,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
3,1.32186006726092,0.566954919439911,0.210648844300882,2.43307129022095,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
4,2.12309947193247,0.540252917529361,1.06422321103224,3.18197573283271,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
5,0.873621452600662,0.567276215030295,-0.238219498144915,1.98546240334624,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
6,1.45469298951783,0.450370868916724,0.571982306755038,2.33740367228062,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
7,0.150096462570999,0.529227432913362,-0.887170245569779,1.18736317071178,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
8,0.928993490441446,0.380794807245692,0.182649382740018,1.67533759814287,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
9,0.828985436445252,0.543592825972665,-0.236436924715521,1.89440779760602,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
10,0.90194990844716,0.494116948813768,-0.0665015153786458,1.87040133227297,TRUE,"full",138,1,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
1,0.941208834438083,0.422703425223887,0.112725344857545,1.76969232401862,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
2,1.30672248214674,0.458838141021264,0.407416251011748,2.20602871328172,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
3,0.428734136751173,0.477779147699022,-0.507695785303152,1.3651640588055,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
4,0.258321431497422,0.502123184899202,-0.72582192670756,1.2424647897024,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
5,1.07635434852197,0.544718412388991,0.00872587852371121,2.14398281852023,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
6,1.14624061844258,0.532486333213259,0.102586583084793,2.18989465380036,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
7,0.884152610173262,0.452284444129352,-0.00230861108798563,1.77061383143451,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
8,0.897179424522865,0.601921603680124,-0.282565240206769,2.0769240892525,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
9,2.0660291399909,0.506074720910366,1.07414091352043,3.05791736646138,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
10,0.380225087120967,0.451499952817756,-0.504698559423367,1.2651487336653,TRUE,"full",138,2,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
1,0.0373030645997196,0.471147202226866,-0.886128483181747,0.960734612381187,TRUE,"full",138,3,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
2,0.935493852729816,0.600473912014,-0.241413388473497,2.11240109393313,TRUE,"full",138,3,2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,29,29
