"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,3.21471286089485,0.492066996177985,2.25027927040519,4.1791464513845,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
2,2.55995448964755,0.624866230874023,1.33523918197918,3.78466979731593,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
3,3.75403391708277,0.594970085779551,2.58791397707614,4.9201538570894,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
4,2.39529384653615,0.55944648782317,1.29879887912531,3.49178881394699,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
5,3.25263154464108,0.568000737396487,2.13937055615177,4.36589253313038,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
6,2.64776335011516,0.66699583569993,1.3404755343051,3.95505116592521,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
7,2.60776174419629,0.655503706118975,1.32299808847057,3.89252539992201,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
8,2.4552310491012,0.508273134352413,1.45903401146118,3.45142808674121,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
9,3.55263676113326,0.447198879388172,2.67614306360577,4.42913045866075,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
10,4.16967214502844,0.582946020335604,3.0271189402397,5.31222534981718,TRUE,"full",628,1,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
1,3.03533247699411,0.459491768219745,2.13474516009078,3.93591979389744,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
2,3.59422325496613,0.469892416680555,2.67325104166375,4.5151954682685,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
3,3.41285794417114,0.418223335293505,2.59315526950165,4.23256061884063,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
4,3.05294090944995,0.343368789065899,2.37995044946565,3.72593136943424,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
5,3.15749217869755,0.388306342541945,2.39642573234687,3.91855862504824,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
6,3.30531881202337,0.423131242183138,2.47599681661072,4.13464080743602,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
7,2.85766867726751,0.524570580551508,1.82952923203728,3.88580812249773,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
8,2.45701524096357,0.420636051040064,1.63258373032589,3.28144675160125,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
9,3.4058622359542,0.466249597140691,2.49202981775214,4.31969465415627,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
10,2.89920592198429,0.503041985319723,1.9132617480461,3.88515009592247,TRUE,"full",628,2,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
1,3.37792921590183,0.499532003656356,2.39886447961025,4.35699395219342,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
2,2.80029683705493,0.542539680976319,1.73693860215749,3.86365507195236,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
3,2.63119606287065,0.62273664061173,1.4106546754182,3.85173745032311,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
4,3.85923813982378,0.553549774772405,2.77430051761961,4.94417576202795,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
5,3.42596955421955,0.610163350041611,2.23007136345169,4.62186774498742,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
6,3.97441098870174,0.685834211699614,2.63020063440508,5.3186213429984,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
7,3.46928058918078,0.547257889266298,2.39667483596343,4.54188634239813,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
8,2.4221229841989,0.613593595733808,1.21950163541621,3.6247443329816,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
9,3.31344839401945,0.573540318524327,2.18933002603014,4.43756676200876,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
10,1.23219643851744,0.579387050624836,0.0966186861838738,2.367774190851,TRUE,"full",628,3,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,16,42
1,3.24384536084727,0.54803517046818,2.16971616446837,4.31797455722617,TRUE,"full",628,4,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,14,44
2,3.72510264262764,0.544672368829622,2.65756441634746,4.79264086890781,TRUE,"full",628,4,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,14,44
3,2.65264430763591,0.630051654359465,1.41776575669149,3.88752285858034,TRUE,"full",628,4,4,"Design 4","Isolation Buffer","Iso. Buffer","Blocking",3,0.8,0.2,"both",25,10,14,44
