"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,2.65023147752945,0.260979465040038,2.13872112534645,3.16174182971246,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
2,1.79115364420892,0.261664550191754,1.27830054980221,2.30400673861563,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
3,2.38780029459966,0.240482297488618,1.91646365260252,2.8591369365968,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
4,1.60087958499998,0.234458503149033,1.1413493629587,2.06040980704125,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
5,1.86307690946763,0.280533992723398,1.31324038729055,2.41291343164471,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
6,2.25621125470663,0.212050760791476,1.84059940066102,2.67182310875225,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
7,2.27647972204996,0.290813200327751,1.70649632317874,2.84646312092118,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
8,1.74517881653704,0.288135217493236,1.18044416757268,2.3099134655014,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
9,1.84809540232285,0.273086535028914,1.31285562900334,2.38333517564236,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
10,1.77877577112875,0.232673344695633,1.32274439536284,2.23480714689467,TRUE,"full",483,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
1,1.9227377648658,0.310241939297514,1.31467473734882,2.53080079238279,TRUE,"full",483,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
2,1.7658554305049,0.220966116306055,1.33276980074134,2.19894106026845,TRUE,"full",483,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
3,1.78728115539204,0.270382760856683,1.25734068207244,2.31722162871165,TRUE,"full",483,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
4,1.90121802259862,0.267685715220813,1.37656366158998,2.42587238360726,TRUE,"full",483,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
5,2.2274058823964,0.275487855314109,1.68745960780256,2.76735215699023,TRUE,"full",483,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
6,1.66570061855046,0.307147622014157,1.0637023414656,2.26769889563533,TRUE,"full",483,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
7,2.28054019654873,0.219587676000015,1.85015626013985,2.71092413295761,TRUE,"full",483,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
8,2.03610284117666,0.256801202800791,1.53278173250055,2.53942394985278,TRUE,"full",483,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
9,2.49241100737828,0.248344623083067,2.00566449038129,2.97915752437526,TRUE,"full",483,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",2,0.8,0,"both",25,10,30,28
