"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,2.72614913210773,0.259765676547924,2.21701776165412,3.23528050256134,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
2,3.27903154801055,0.24823510568273,2.7924996811739,3.76556341484719,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
3,2.7648425830269,0.244451295275768,2.28572684831223,3.24395831774157,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
4,3.40110143114167,0.268597675475561,2.87465966087839,3.92754320140494,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
5,3.10680676875654,0.249586996704456,2.61762524420629,3.5959882933068,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
6,2.9061263939635,0.287716232008774,2.34221294145873,3.47003984646826,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
7,2.72232318181492,0.263456800318935,2.20595734170765,3.2386890219222,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
8,3.27887788111812,0.265192071156776,2.75911097266526,3.79864478957098,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
9,3.58046532987204,0.221444373763851,3.14644233271587,4.01448832702822,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
10,2.82929992776819,0.211745018998282,2.41428731662581,3.24431253891058,TRUE,"full",517,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
1,2.81346540861674,0.298257785557372,2.22889089081562,3.39803992641786,TRUE,"full",517,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
2,3.42263631847328,0.286826773402373,2.8604661728028,3.98480646414376,TRUE,"full",517,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
3,2.94742606862951,0.251107506923556,2.4552643988117,3.43958773844732,TRUE,"full",517,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
4,3.27876421368066,0.327025294818304,2.63780641380319,3.91972201355813,TRUE,"full",517,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
5,2.94401827629005,0.270118156662449,2.41459641766131,3.4734401349188,TRUE,"full",517,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
6,2.54890367018597,0.308084368448643,1.94506940382686,3.15273793654508,TRUE,"full",517,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",3,0.5,0,"both",25,10,29,29
