"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,1.45245634166328,0.233533869787807,0.994738367708915,1.91017431561765,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
2,0.667602110850925,0.258753605828946,0.160454362556317,1.17474985914553,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
3,1.38352019198901,0.237036993660679,0.918936221410426,1.84810416256759,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
4,1.1289125370686,0.256243756880555,0.626684002319473,1.63114107181772,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
5,0.684587978878394,0.241090122371525,0.212060022001849,1.15711593575494,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
6,1.04876547426952,0.247144250245189,0.564371644802796,1.53315930373625,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
7,0.768575902566847,0.24823041840324,0.282053222629188,1.25509858250451,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
8,0.943329525346516,0.226564010330734,0.499272224905316,1.38738682578772,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
9,1.54106740158697,0.293090708467909,0.966620168786539,2.1155146343874,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
10,1.55055547816916,0.247257419573735,1.06593984089433,2.03517111544399,TRUE,"full",213,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
1,0.945459186236791,0.253028894206112,0.449531666544817,1.44138670592877,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
2,1.0900646498324,0.278934587421375,0.543362904443965,1.63676639522083,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
3,1.06668629338399,0.258966226747324,0.559121815747,1.57425077102098,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
4,0.841785825849109,0.28670369210226,0.279856915094019,1.4037147366042,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
5,1.04561153051302,0.22268865659337,0.609149783824408,1.48207327720163,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
6,0.727674720047553,0.235796228850227,0.265522603810744,1.18982683628436,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
7,0.83730936694668,0.247703603912487,0.351819224437431,1.32279950945593,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
8,1.17513122583157,0.306471403287399,0.574458313096823,1.77580413856633,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
9,1.03480655193478,0.244148285805761,0.556284704868295,1.51332839900126,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
10,1.017066101507,0.221801922857019,0.582342321005508,1.45178988200849,TRUE,"full",213,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
1,1.35510953889145,0.286580885894694,0.79342132388027,1.91679775390263,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
2,1.37592852715615,0.307322025477626,0.773588425564099,1.97826862874819,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
3,0.869331382081707,0.274556270886392,0.331210979414755,1.40745178474866,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
4,1.03008423963327,0.304828913323732,0.432630548072272,1.62753793119427,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
5,0.857022503652193,0.300956484697334,0.26715863273164,1.44688637457275,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
6,0.868282040106946,0.261060019024899,0.356613805014804,1.37995027519909,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
7,0.965487734260498,0.316236391326303,0.345675796660029,1.58529967186097,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
8,1.56952387969164,0.289304133460026,1.00249819753142,2.13654956185186,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
9,1.32736468985508,0.224608212073824,0.887140683558448,1.76758869615171,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
10,0.916286733013027,0.281139982146845,0.365262493390977,1.46731097263508,TRUE,"full",213,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
1,0.782190420759027,0.260061139810483,0.272479952952045,1.29190088856601,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
2,1.15926751002825,0.235958723837522,0.696796909468676,1.62173811058783,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
3,1.04941589041201,0.290160309823062,0.480712133415826,1.6181196474082,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
4,1.0102907859416,0.267420365886157,0.486156500072209,1.53442507181099,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
5,1.17008205622263,0.212239210720035,0.754100847104155,1.58606326534111,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
6,1.02999408742669,0.258707374174389,0.522936951509962,1.53705122334342,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
7,0.695039482659638,0.252483503280176,0.200180909539992,1.18989805577928,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
8,1.14218921586708,0.254886611475971,0.642620637232721,1.64175779450143,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
9,1.10512506735204,0.257512194928033,0.600410439713238,1.60983969499084,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
10,0.865289347392232,0.298172545047611,0.280881897920268,1.4496967968642,TRUE,"full",213,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
1,1.23172966910523,0.277502763512122,0.687834247011134,1.77562509119932,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
2,0.947196017014315,0.28163776686017,0.395196137282093,1.49919589674654,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
3,0.759255378630087,0.249703663186386,0.26984519197705,1.24866556528312,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
4,1.09235080457111,0.25040876124075,0.601558651125955,1.58314295801627,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
5,1.03455715410874,0.278640417043223,0.488431972066806,1.58068233615068,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
6,1.46965183040647,0.297557126705565,0.886450578720346,2.0528530820926,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
7,1.07821031437768,0.270527257902841,0.54798663205173,1.60843399670362,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
8,1.08010560437252,0.269947610167681,0.551018010731209,1.60919319801383,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
9,0.670981987640661,0.307004951893752,0.0692633388534547,1.27270063642787,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
10,1.03035949197343,0.327450540229659,0.388568226405111,1.67215075754174,TRUE,"full",213,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
1,0.843205811780118,0.290665751242199,0.273511407806129,1.41290021575411,TRUE,"full",213,6,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
2,1.04118271758846,0.230586417054606,0.589241644837305,1.49312379033962,TRUE,"full",213,6,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
3,1.15780197065481,0.253637794623132,0.660681028075306,1.65492291323431,TRUE,"full",213,6,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
4,0.666055212120373,0.298349755793833,0.0813004359681401,1.25080998827261,TRUE,"full",213,6,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
5,1.37041746406921,0.260112651458209,0.860606035287897,1.88022889285051,TRUE,"full",213,6,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.7,0.2,"both",25,10,28,30
