"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,1.1264853718085,0.27358970768185,0.59025939821123,1.66271134540576,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
2,0.881902032375047,0.243839026887844,0.403986321649578,1.35981774310051,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
3,0.821053368048202,0.291358725095824,0.25000076027888,1.39210597581752,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
4,1.52355504779519,0.242125115645098,1.0489985413782,1.99811155421217,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
5,0.657257988439313,0.239843776021287,0.1871728255215,1.12734315135713,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
6,0.783889155637665,0.270965750977299,0.252806042678312,1.31497226859702,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
7,0.913582337788222,0.306048236541316,0.313738816635247,1.5134258589412,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
8,0.613223004008525,0.271824981575843,0.0804558300216096,1.14599017799544,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
9,0.487780107246828,0.233370714211448,0.0303819123459997,0.945178302147657,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
10,1.10250130554988,0.273246194196608,0.566948606011894,1.63805400508787,TRUE,"full",107,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,28,30
1,-0.00527495785806475,0.244602399415806,-0.484686851245125,0.474136935528995,TRUE,"full",107,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,29,29
2,0.630371250736255,0.282401184372661,0.0768751001743834,1.18386740129813,TRUE,"full",107,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,29,29
3,1.07940671399524,0.270944996349812,0.548364279358271,1.61044914863221,TRUE,"full",107,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,29,29
4,1.10687662985351,0.268364768645532,0.58089134858884,1.63286191111817,TRUE,"full",107,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,29,29
5,0.672936557505758,0.242403515012572,0.197834398355203,1.14803871665631,TRUE,"full",107,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,29,29
6,1.17235914209192,0.28380504164291,0.616111481840926,1.72860680234291,TRUE,"full",107,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,29,29
7,0.972357089878081,0.273467093931078,0.436371434816336,1.50834274493983,TRUE,"full",107,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,29,29
8,0.72850949153344,0.30841394623223,0.124029264588396,1.33298971847848,TRUE,"full",107,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.8,0.01,"both",25,10,29,29
