"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,2.20339545800255,0.369978767401378,1.47825039885132,2.92854051715377,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
2,1.73932785033203,0.451563519762803,0.8542796148648,2.62437608579927,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
3,1.8593593037631,0.532452286321325,0.815771999087297,2.90294660843891,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
4,1.7004488004353,0.516161945720722,0.688789976632568,2.71210762423803,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
5,2.51214615230284,0.47757431433251,1.57611769626971,3.44817460833597,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
6,1.86482317017703,0.510386093557331,0.864484808594566,2.86516153175948,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
7,2.76032148609774,0.427920660224747,1.92161240381663,3.59903056837884,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
8,2.41080315609144,0.455366530085694,1.51830115735851,3.30330515482438,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
9,1.58550666961663,0.424907946075135,0.752702398564476,2.41831094066878,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
10,1.84005018170851,0.475491228119299,0.908104499629966,2.77199586378706,TRUE,"full",473,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
1,2.56973656533124,0.362973311753759,1.85832194694465,3.28115118371784,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
2,1.97530392087403,0.483195650178294,1.02825784903816,2.9223499927099,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
3,2.27980292495707,0.450224825473554,1.39737848208308,3.16222736783107,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
4,1.28931195820318,0.399788244010211,0.505741398500659,2.07288251790571,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
5,1.62863249270027,0.450413610164439,0.745838038631311,2.51142694676924,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
6,2.57637913474947,0.470433482313998,1.65434645229228,3.49841181720667,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
7,2.25638744670078,0.562235187403149,1.15442672854949,3.35834816485208,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
8,2.0710810993549,0.465402527884633,1.15890890638712,2.98325329232268,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
9,1.4013876831854,0.409385908764872,0.599006046228055,2.20376932014275,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
10,1.64197331498948,0.455547061098963,0.749117481972449,2.53482914800652,TRUE,"full",473,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
1,2.05495212190582,0.479958962612926,1.11424984112728,2.99565440268436,TRUE,"full",473,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
2,1.35886178319188,0.43439819463861,0.50745696675099,2.21026659963278,TRUE,"full",473,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",2,0.7,0.5,"both",25,10,28,30
