"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,0.760009006186052,0.519373915254729,-0.257945162222774,1.77796317459488,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
2,1.17607847825895,0.416375678140691,0.359997145064751,1.99215981145314,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
3,0.0100315313785945,0.433139217328393,-0.838905734876922,0.858968797634111,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
4,1.64636660100661,0.441643569880618,0.780761110036897,2.51197209197632,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
5,1.42316138738518,0.430010916831067,0.580355477437243,2.26596729733312,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
6,0.573534816533148,0.437028265613371,-0.283024844295063,1.43009447736136,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
7,1.32667721419582,0.449216512367029,0.446229028695754,2.20712539969589,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
8,0.804775679497738,0.481703109355161,-0.139345066079337,1.74889642507481,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
9,0.269823918569565,0.403185659429745,-0.520405452995766,1.0600532901349,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
10,0.628606699110311,0.461465757147193,-0.275849564996695,1.53306296321732,TRUE,"full",249,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
1,1.40030947054186,0.38390500076256,0.647869495562425,2.1527494455213,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
2,0.776075545519911,0.458762107571661,-0.123081662792234,1.67523275383206,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
3,1.37027411485267,0.45009085392666,0.488112251385539,2.2524359783198,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
4,0.482718699894407,0.509660580785117,-0.516197682784189,1.481635082573,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
5,1.02988787470681,0.462679735474528,0.123052256800213,1.9367234926134,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
6,1.38238942491189,0.507310847131887,0.388078435566884,2.37670041425689,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
7,1.7002662282392,0.468713465861364,0.781604716081986,2.61892774039642,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
8,1.4624395776225,0.449647982808691,0.581145725596385,2.34373342964862,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
9,1.19293658602991,0.512154825321964,0.189131573890459,2.19674159816936,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
10,-0.0280791120753377,0.443248466878154,-0.896830143359114,0.840671919208439,TRUE,"full",249,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
1,1.58297155527363,0.477978404482956,0.646151097099118,2.51979201344814,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
2,1.07788397700499,0.502306329318484,0.0933816623342422,2.06238629167573,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
3,0.572890982355639,0.476111920315955,-0.360271234073836,1.50605319878511,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
4,1.31550660244598,0.445290399595933,0.442753456576498,2.18825974831545,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
5,1.75899256601027,0.525695001554086,0.728649296111533,2.78933583590901,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
6,0.943651494491542,0.562946636769057,-0.15970363879376,2.04700662777684,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
7,1.76968037425184,0.415939932154755,0.954453087496492,2.5849076610072,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
8,0.928958832511614,0.438185668180451,0.0701307043363113,1.78778696068692,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
9,1.08071194677473,0.436330978862128,0.225518942865853,1.93590495068361,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
10,0.857970941624367,0.34179468332988,0.188065672190529,1.5278762110582,TRUE,"full",249,3,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
1,0.959656440849629,0.464029540186065,0.0501752543222599,1.869137627377,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
2,0.974458503731477,0.507761592480277,-0.0207359302625706,1.96965293772552,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
3,2.12248901335981,0.36023940893997,1.41643274602547,2.82854528069415,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
4,1.22681179471428,0.494701134876847,0.257215387244567,2.19640820218399,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
5,1.06189421611536,0.420348296107224,0.238026694782423,1.8857617374483,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
6,0.430858808910102,0.398374353429782,-0.3499405761767,1.2116581939969,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
7,0.621171366027493,0.370298287637086,-0.104599941278048,1.34694267333303,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
8,1.22593585445483,0.425923287079515,0.391141551602065,2.06073015730759,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
9,0.968066504595629,0.503691288341576,-0.0191502798804387,1.9552832890717,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
10,1.61907002889252,0.507743242982688,0.623911559252888,2.61422849853216,TRUE,"full",249,4,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
1,2.79249690188941,0.511146722903176,1.79066773418351,3.79432606959531,TRUE,"full",249,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
2,0.464022356107267,0.457474904168548,-0.432611979894,1.36065669210853,TRUE,"full",249,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
3,1.28516467294766,0.531153904756792,0.244122149376525,2.32620719651879,TRUE,"full",249,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
4,1.38323325587752,0.519149336217765,0.365719254292825,2.40074725746221,TRUE,"full",249,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
5,0.64908419638642,0.461207785521967,-0.254866452626109,1.55303484539895,TRUE,"full",249,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
6,0.764018139485049,0.453116216016498,-0.124073324718359,1.65210960368846,TRUE,"full",249,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
7,0.371773494517712,0.464773533261011,-0.539165891641298,1.28271288067672,TRUE,"full",249,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
8,1.57549872306908,0.46278959400325,0.668447786402796,2.48254965973536,TRUE,"full",249,5,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,28,30
