"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,1.37344626338492,0.290302222951954,0.804464361767175,1.94242816500267,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
2,1.3477522777146,0.26913715770654,0.820253141708305,1.87525141372089,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
3,1.10942993779358,0.257976266407615,0.603805746768548,1.61505412881862,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
4,1.17318249994479,0.295033496578516,0.594927472417975,1.7514375274716,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
5,0.726689386407865,0.260476056330531,0.216165697164998,1.23721307565073,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
6,1.37677831638604,0.221409079728844,0.942824494267348,1.81073213850473,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
7,0.884642380934564,0.291375220972888,0.313557441840303,1.45572732002883,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
8,1.1441663712438,0.246348904321501,0.661331391142753,1.62700135134484,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
9,1.05221262545764,0.311621014742887,0.441446659735757,1.66297859117952,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
10,0.720870730107314,0.274969072045403,0.181941252035926,1.2598002081787,TRUE,"full",176,1,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
1,0.816102721946095,0.276814191304335,0.273556876580018,1.35864856731217,TRUE,"full",176,2,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
2,0.586094317603985,0.227582937012908,0.140039957562837,1.03214867764513,TRUE,"full",176,2,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
3,0.933814525773761,0.251988087611159,0.439926949522767,1.42770210202476,TRUE,"full",176,2,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
4,1.24772199754422,0.267840170583362,0.722764909587762,1.77267908550067,TRUE,"full",176,2,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
5,1.40012716801611,0.208349414434387,0.991769819524707,1.80848451650752,TRUE,"full",176,2,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
6,0.791601280682138,0.276163956074974,0.250329872947087,1.33287268841719,TRUE,"full",176,2,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
7,0.725521203210903,0.236838927088647,0.261325435980048,1.18971697044176,TRUE,"full",176,2,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
8,0.671472597895227,0.221194942967099,0.237938476117321,1.10500671967313,TRUE,"full",176,2,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
9,1.23732727758552,0.247206346121709,0.752811742437227,1.72184281273381,TRUE,"full",176,2,8,"Design 8","Incidence-Guided Saturation Regions","Incidence Sat. Regions","Saturation",1,0.6,0.01,"both",25,10,29,29
