"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,0.731412669303477,0.237623678591637,0.265678817389947,1.19714652121701,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
2,0.599052499089656,0.250859160200554,0.107377579904607,1.0907274182747,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
3,1.3996571125524,0.251643943594633,0.906444046179286,1.89287017892551,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
4,0.371482051614796,0.236599569042414,-0.0922445824660331,0.835208685695626,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
5,0.93984650005857,0.274498107190212,0.40184009614134,1.4778529039758,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
6,0.503011422041702,0.23976617261222,0.0330783590107376,0.972944485072666,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
7,0.898092278184141,0.242255199212794,0.423280812659489,1.37290374370879,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
8,0.800034456987096,0.263734420793898,0.283124490747523,1.31694442322667,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
9,1.01434419419521,0.221820374764336,0.579584248619936,1.44910413977049,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
10,0.521390530309713,0.220021078218176,0.0901571411624171,0.952623919457009,TRUE,"full",35,1,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,28,30
1,1.16898067544685,0.236730146305179,0.704998114633805,1.6329632362599,TRUE,"full",35,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,29,29
2,0.883625406637718,0.246097103682924,0.401283946719569,1.36596686655587,TRUE,"full",35,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,29,29
3,1.15520910547115,0.254825367929358,0.655760561982436,1.65465764895986,TRUE,"full",35,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,29,29
4,0.934190102214459,0.233422663111588,0.47669008934032,1.3916901150886,TRUE,"full",35,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,29,29
5,1.12848481975306,0.269078581526662,0.601100490949673,1.65586914855644,TRUE,"full",35,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,29,29
6,0.595021884861544,0.255796407402206,0.0936701389784859,1.0963736307446,TRUE,"full",35,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,29,29
7,0.925323794766336,0.237884996902792,0.459077768374441,1.39156982115823,TRUE,"full",35,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,29,29
8,1.28974436779848,0.250958157933038,0.797875416623214,1.78161331897375,TRUE,"full",35,2,3,"Design 3","Saturation Regions","Sat. Regions","Saturation",0.8,0.6,0,"both",25,10,29,29
