"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,0.998344638418168,0.459430354467177,0.0978776902580316,1.8988115865783,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
2,2.04463912386492,0.386706242309709,1.28670881634107,2.80256943138876,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
3,1.56726619917871,0.574440284420985,0.441383930444635,2.69314846791279,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
4,1.27621659142619,0.450296439445959,0.393651787745493,2.15878139510689,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
5,1.01838422858954,0.476165121450828,0.0851177398517806,1.95165071732731,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
6,1.21262652692651,0.478905203366129,0.273989576320069,2.15126347753296,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
7,1.04626913968661,0.405673114056893,0.251164446638891,1.84137383273433,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
8,1.44515306603085,0.384046188061266,0.692436369030876,2.19786976303083,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
9,1.9063840213611,0.518635462610664,0.889877193538933,2.92289084918327,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
10,1.45157262227373,0.456468118276525,0.556911550360977,2.34623369418649,TRUE,"full",377,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
1,1.70414429823002,0.521457249494264,0.682106869743948,2.7261817267161,TRUE,"full",377,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
2,0.78276186057708,0.438650837483959,-0.076977982679813,1.64250170383397,TRUE,"full",377,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
3,1.79306485715226,0.456019987073909,0.899282106256982,2.68684760804755,TRUE,"full",377,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,28,30
