"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,1.81953934034339,0.251694877580608,1.32622644519218,2.3128522354946,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
2,1.48822182334273,0.258414961847622,0.981737805055096,1.99470584163036,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
3,1.95958348311573,0.263819691371585,1.44250638961495,2.4766605766165,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
4,2.00605030242507,0.286188949438421,1.44513026875241,2.56697033609773,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
5,1.9359314379185,0.279822489549753,1.38748943633665,2.48437343950035,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
6,1.81810680526433,0.260916624555667,1.30671961816747,2.3294939923612,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
7,1.59611496547273,0.303559058977322,1.00115014269631,2.19107978824915,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
8,2.09017431343644,0.256363495417205,1.58771109546792,2.59263753140496,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
9,1.8463183230242,0.265553702154325,1.32584263084045,2.36679401520796,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
10,2.30602369396839,0.263264736352454,1.79003429231815,2.82201309561864,TRUE,"full",478,1,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
1,1.78337808747682,0.261851714975382,1.27015815683503,2.29659801811862,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
2,1.91463807791943,0.227196049965079,1.46934200255811,2.35993415328075,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
3,1.73775228770557,0.25186830702357,1.2440994770923,2.23140509831885,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
4,2.12356572921545,0.246010070391664,1.64139485141363,2.60573660701728,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
5,2.27208923201423,0.26558982507795,1.75154274020115,2.7926357238273,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
6,1.85289937200435,0.237587547233645,1.38723633625119,2.3185624077575,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
7,1.94059588221007,0.279705886907691,1.39238241760717,2.48880934681298,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
8,2.16111753987543,0.266657164965305,1.63847910032388,2.68375597942698,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
9,2.44884787464528,0.262368718936197,1.93461463486042,2.96308111443013,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
10,1.77708557233188,0.271536874584707,1.24488307767128,2.30928806699247,TRUE,"full",478,2,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
1,1.81666536471996,0.227106294687804,1.37154520646952,2.26178552297039,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
2,1.9562848877569,0.251014986532345,1.46430455457369,2.4482652209401,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
3,2.10853039116425,0.272649621473543,1.57414695267762,2.64291382965087,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
4,2.33822904532462,0.251115396961928,1.84605191131577,2.83040617933348,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
5,2.1004982172619,0.292043653062122,1.52810317534663,2.67289325917717,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
6,2.41990945254641,0.303510181505037,1.82504042785533,3.0147784772375,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
7,2.1407067244303,0.282418740197378,1.58717616508427,2.69423728377634,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
8,2.08175028337634,0.294577785693867,1.5043884327708,2.65911213398188,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
9,1.90012943953583,0.262316980041549,1.38599760612108,2.41426127295058,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
10,1.67311756026134,0.262113192159853,1.1593851437552,2.18684997676747,TRUE,"full",478,3,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
1,2.40242596041652,0.227434942917571,1.95666166347216,2.84819025736088,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
2,2.19721570677035,0.224006351061045,1.75817132638247,2.63626008715823,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
3,2.00944081215478,0.219349127591253,1.57952442203564,2.43935720227392,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
4,1.9290034198004,0.245765624252919,1.44731164762667,2.41069519197412,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
5,2.23740082218428,0.261739175232107,1.72440146538614,2.75040017898243,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
6,1.581487372274,0.242776200606438,1.10565476278191,2.05731998176609,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
7,1.80683272267191,0.293186359625312,1.23219801704789,2.38146742829593,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
8,1.84462807143659,0.277469751172463,1.30079735233927,2.3884587905339,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
9,2.12971912243636,0.288476277174195,1.56431600878074,2.69512223609198,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
10,2.65856011236444,0.264422007862924,2.14030250023334,3.17681772449554,TRUE,"full",478,4,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
1,2.39737682610518,0.239526649130369,1.9279132204721,2.86684043173827,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
2,2.40179469193834,0.249198826538901,1.91337396693245,2.89021541694423,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
3,1.9633419146763,0.195095036780957,1.58096266902311,2.3457211603295,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
4,2.05096330613864,0.268481000794629,1.5247502140479,2.57717639822938,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
5,1.92066368933769,0.239131799338482,1.45197397507601,2.38935340359938,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
6,1.98649530151868,0.261428412020931,1.47410502942216,2.4988855736152,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
7,2.03120901282496,0.246175835936092,1.54871324052618,2.51370478512374,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
8,2.23813653122203,0.292715265007043,1.66442515408313,2.81184790836093,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
9,2.09361912429638,0.242955370188374,1.61743534887657,2.56980289971619,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
10,2.54346993032627,0.304833799200585,1.94600666262261,3.14093319802993,TRUE,"full",478,5,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
1,2.02736913077243,0.254068303567475,1.52940440616699,2.52533385537787,TRUE,"full",478,6,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
2,1.83017405701486,0.280317830856716,1.2807612043113,2.37958690971841,TRUE,"full",478,6,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
3,1.80695999280067,0.254951620233185,1.30726399934349,2.30665598625784,TRUE,"full",478,6,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
4,2.05298961899737,0.277165881846071,1.50975447283578,2.59622476515895,TRUE,"full",478,6,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
5,2.08689353240079,0.316515956888409,1.46653365636727,2.7072534084343,TRUE,"full",478,6,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
6,2.32307325620434,0.255567075554746,1.82217099248281,2.82397551992587,TRUE,"full",478,6,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
7,2.08191748681778,0.288832089403235,1.51581699400799,2.64801797962757,TRUE,"full",478,6,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
8,1.67809181622231,0.263321056305232,1.16199202949301,2.19419160295161,TRUE,"full",478,6,6,"Design 6","Balanced Quartiles","Bal. Quartiles","Stratified",2,0.7,0.5,"both",25,10,30,28
