"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,3.18037603635954,0.454573661736736,2.28942803103504,4.07132404168403,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
2,3.47804607050996,0.411436325487824,2.67164569062233,4.2844464503976,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
3,2.94907767445894,0.431804348246437,2.10275670352813,3.79539864538975,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
4,2.92005719961313,0.437918260339868,2.06175318117455,3.77836121805171,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
5,3.49586849346896,0.446380704029412,2.62097839017768,4.37075859676024,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
6,2.33866349227507,0.488995367011174,1.38025018432622,3.29707680022391,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
7,3.49007012856356,0.476231321863865,2.55667388940048,4.42346636772663,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
8,3.24603218020644,0.406442445381623,2.44941962547007,4.04264473494281,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
9,3.42214682858568,0.394178548161121,2.64957107071159,4.19472258645976,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
10,3.2016330137564,0.548168513044261,2.12724247073078,4.27602355678203,TRUE,"full",521,1,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
1,2.6443294288798,0.450787019644661,1.76080310567811,3.52785575208148,TRUE,"full",521,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
2,2.56010893185221,0.484858219527656,1.60980428396979,3.51041357973463,TRUE,"full",521,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
3,2.21944896531732,0.413343520225872,1.4093105524316,3.02958737820303,TRUE,"full",521,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
4,2.67996990268952,0.475877856666351,1.74726644258336,3.61267336279568,TRUE,"full",521,2,1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.5,0.01,"both",25,10,28,30
