"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,0.738101847004441,0.266604133060577,0.215567348076185,1.2606363459327,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
2,0.604870462400697,0.244522892998172,0.125614398728739,1.08412652607265,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
3,0.946372694110714,0.310100162781663,0.338587543458647,1.55415784476278,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
4,1.10301162503506,0.259322768078982,0.594748339229021,1.6112749108411,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
5,1.46954879101802,0.263641571841169,0.952820805381796,1.98627677665424,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
6,0.717187235195093,0.212866810747823,0.299975952625456,1.13439851776473,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
7,0.846390240637295,0.246311716464439,0.363628147396753,1.32915233387784,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
8,1.12419815932748,0.265952245090567,0.602941337342395,1.64545498131256,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
9,0.829226289348773,0.229792983262014,0.37884031825521,1.27961226044234,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
10,1.5682761252175,0.264345864232363,1.05016775185995,2.08638449857505,TRUE,"full",189,1,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
1,1.04663106148882,0.262516157800721,0.532108846839571,1.56115327613806,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
2,1.53935153435266,0.28369577610136,0.983318030627854,2.09538503807746,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
3,0.302450001034724,0.2680430495901,-0.222904722468155,0.827804724537603,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
4,0.825775293026521,0.254121393538071,0.327706513990773,1.32384407206227,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
5,0.988214289207337,0.272931214038556,0.453278939434974,1.5231496389797,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
6,0.903998549694724,0.295484025976842,0.324860500773215,1.48313659861623,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
7,0.849956578031202,0.276462532789495,0.308099970689069,1.39181318537333,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
8,0.523701468259446,0.251489582901585,0.0307909432853397,1.01661199323355,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
9,1.36742875874762,0.284301585746513,0.810207889936826,1.92464962755841,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
10,0.920389090803819,0.290119688623171,0.351764949896429,1.48901323171121,TRUE,"full",189,2,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
1,0.429679712217238,0.252467334623757,-0.0651471709181478,0.924506595352624,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
2,0.523986742113646,0.232770583229814,0.0677647823228283,0.980208701904464,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
3,1.47535455676874,0.227225750148201,1.03000027011817,1.92070884341931,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
4,1.27550756856657,0.273012231193023,0.740413428089325,1.81060170904382,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
5,0.55163173874845,0.23481422120816,0.0914043221226354,1.01185915537426,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
6,0.774415123247279,0.252855047976901,0.278828335903406,1.27000191059115,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
7,1.08824374655297,0.264398416482281,0.57003237267828,1.60645512042766,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
8,1.02498531713135,0.238459815720203,0.557612666559698,1.49235796770301,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
9,1.01127861618886,0.251405975318199,0.518531959067022,1.50402527331069,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
10,1.34358745332525,0.29707911895298,0.761323079618518,1.92585182703198,TRUE,"full",189,3,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
1,0.819282400549947,0.263710177540636,0.302419950213637,1.33614485088626,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
2,1.29897280760312,0.240548815189487,0.82750579330794,1.77043982189829,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
3,0.744096465829056,0.251726347723632,0.250721890330931,1.23747104132718,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
4,0.737164285116701,0.24349669586959,0.259919530857802,1.2144090393756,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
5,1.52588687131244,0.198933513177434,1.13598435016664,1.91578939245823,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
6,1.40990215302038,0.260645381933945,0.899046591693159,1.9207577143476,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
7,0.722589866587694,0.240423177760661,0.251369097128128,1.19381063604726,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
8,0.770074975924632,0.248973917924186,0.282095063703396,1.25805488814587,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
9,0.505037495453677,0.235392571515599,0.0436765330548339,0.96639845785252,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
10,0.579638455122285,0.284027445744958,0.0229548908412629,1.13632201940331,TRUE,"full",189,4,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
1,1.43189991948111,0.244201627954725,0.953273523723794,1.91052631523842,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
2,0.738745313401809,0.253497650274065,0.241899048699112,1.23559157810451,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
3,0.885463063463301,0.227022772535943,0.440506605622423,1.33041952130418,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
4,1.0737590789763,0.242574399612998,0.598321992163402,1.54919616578921,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
5,1.05982730195739,0.35296107860971,0.368036299937946,1.75161830397683,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
6,0.683920161463676,0.298231566508435,0.0993970320541816,1.26844329087317,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
7,1.08317154802506,0.260269446162778,0.57305280726983,1.59329028878029,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
8,0.893962839844814,0.215817715525586,0.470967890188956,1.31695778950067,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
9,1.27903173379258,0.236392491333852,0.815710964562537,1.74235250302263,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
10,1.05814303506258,0.267041082181709,0.534752131593832,1.58153393853133,TRUE,"full",189,5,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
1,0.868192569523119,0.219602468635774,0.437779640080915,1.29860549896532,TRUE,"full",189,6,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
2,0.747799687894199,0.20627312823407,0.34351178557701,1.15208759021139,TRUE,"full",189,6,5,"Design 5","2x2 Blocking","2x2 Blocking","Blocking",1,0.6,0.5,"both",25,10,27,31
