"outcome_resample","estimate","se","ci_lower","ci_upper","converged","profile","scenario_id","design_resample","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","n_treated","n_control"
1,0.728070220795356,0.24995822342388,0.238161105244935,1.21797933634578,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
2,0.680472260485147,0.289429645537433,0.113200579173584,1.24774394179671,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
3,0.542904419966301,0.214205548335413,0.123069259940238,0.962739579992365,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
4,0.861192537102999,0.283654290740588,0.305240343191194,1.4171447310148,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
5,1.06708895955893,0.216328466158176,0.643092957058112,1.49108496205975,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
6,0.63389050166465,0.23714701877155,0.169090885831368,1.09869011749793,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
7,0.70103296783191,0.29582907222951,0.121218640682172,1.28084729498165,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
8,1.05680309400358,0.273698192860785,0.520364493362747,1.59324169464442,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
9,0.596788020172938,0.260491530721238,0.0862340016816021,1.10734203866427,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
10,0.821069690305586,0.294223868652374,0.24440150435489,1.39773787625628,TRUE,"full",79,1,7,"Design 7","Balanced Halves","Bal. Halves","Stratified",0.8,0.7,0.01,"both",25,10,28,30
