"profile","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","mean_estimate","bias","sd","mse","coverage","power","fail_rate","n_valid_est"
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.7,0.5,"both",25,10,1.00085977472275,0.00085977472274971,0.472477518598612,0.222342804771351,0.944,0.616,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0,"both",25,10,1.00311200999555,0.00311200999554769,0.479331959474912,0.228849775470775,0.936,0.608,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.01,"both",25,10,0.996639617476907,-0.00336038252309341,0.466255713930322,0.216536105380285,0.928,0.584,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.2,"both",25,10,0.984791395259375,-0.0152086047406254,0.464063240658402,0.214724574223213,0.932,0.552,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1,0.8,0.5,"both",25,10,1.02626987312532,0.0262698731253192,0.515968996938913,0.26584921601296,0.916,0.6,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.5,0,"both",25,10,1.50558655048736,0.0055865504873586,0.504295779597529,0.253328185932948,0.912,0.884,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.5,0.01,"both",25,10,1.54795753894741,0.0479575389474077,0.492233014979211,0.243624093213274,0.94,0.908,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.5,0.2,"both",25,10,1.4587118935912,-0.0412881064087958,0.486692534856455,0.237626852721886,0.956,0.856,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.5,0.5,"both",25,10,1.51000417081248,0.0100041708124836,0.501189771569557,0.250286505811087,0.92,0.888,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.6,0,"both",25,10,1.59280672761299,0.0928067276129909,0.474054962759107,0.232442283975904,0.932,0.928,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.6,0.01,"both",25,10,1.48128179977597,-0.0187182002240331,0.484615818398012,0.234263452495436,0.924,0.9,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.6,0.2,"both",25,10,1.48826086903846,-0.0117391309615419,0.461009990474788,0.211817897668026,0.936,0.9,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.6,0.5,"both",25,10,1.51451246891699,0.0145124689169886,0.438830209265267,0.192012276507609,0.976,0.904,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.7,0,"both",25,10,1.4673309888276,-0.032669011172404,0.508731919608764,0.258840197655685,0.932,0.876,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.7,0.01,"both",25,10,1.51146017221605,0.0114601722160546,0.482904506896606,0.232395311277152,0.928,0.904,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.7,0.2,"both",25,10,1.42531745105344,-0.0746825489465559,0.494872345019434,0.249496526430728,0.92,0.86,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.7,0.5,"both",25,10,1.48258289639957,-0.0174171036004262,0.502731432606119,0.252031293254708,0.928,0.872,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0,"both",25,10,1.5157938863929,0.015793886392903,0.477414764512301,0.22726260479223,0.948,0.92,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.01,"both",25,10,1.53352816393256,0.0335281639325595,0.432726831109155,0.187627638097013,0.956,0.916,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.2,"both",25,10,1.50524053123596,0.00524053123596283,0.494942096894129,0.244015271728481,0.924,0.904,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",1.5,0.8,0.5,"both",25,10,1.5312901455313,0.0312901455312971,0.4467811299903,0.199793997810318,0.96,0.924,0,250
